Category: All categories

Month,gilmore girls: (Worldwide)
2004-01,23
2004-02,27
2004-03,25
2004-04,31
2004-05,42
2004-06,32
2004-07,31
2004-08,33
2004-09,46
2004-10,55
2004-11,60
2004-12,56
2005-01,65
2005-02,73
2005-03,71
2005-04,60
2005-05,70
2005-06,44
2005-07,38
2005-08,53
2005-09,69
2005-10,63
2005-11,78
2005-12,63
2006-01,75
2006-02,69
2006-03,60
2006-04,62
2006-05,56
2006-06,36
2006-07,41
2006-08,53
2006-09,74
2006-10,60
2006-11,58
2006-12,50
2007-01,57
2007-02,61
2007-03,48
2007-04,50
2007-05,70
2007-06,30
2007-07,27
2007-08,26
2007-09,23
2007-10,23
2007-11,25
2007-12,22
2008-01,22
2008-02,19
2008-03,22
2008-04,20
2008-05,18
2008-06,14
2008-07,17
2008-08,17
2008-09,16
2008-10,17
2008-11,18
2008-12,18
2009-01,19
2009-02,16
2009-03,13
2009-04,15
2009-05,18
2009-06,18
2009-07,16
2009-08,14
2009-09,13
2009-10,12
2009-11,14
2009-12,14
2010-01,16
2010-02,15
2010-03,13
2010-04,13
2010-05,12
2010-06,12
2010-07,13
2010-08,14
2010-09,12
2010-10,10
2010-11,10
2010-12,10
2011-01,11
2011-02,10
2011-03,10
2011-04,10
2011-05,9
2011-06,10
2011-07,10
2011-08,10
2011-09,9
2011-10,8
2011-11,8
2011-12,8
2012-01,8
2012-02,6
2012-03,6
2012-04,6
2012-05,6
2012-06,7
2012-07,7
2012-08,7
2012-09,7
2012-10,7
2012-11,7
2012-12,7
2013-01,8
2013-02,7
2013-03,7
2013-04,7
2013-05,7
2013-06,7
2013-07,7
2013-08,7
2013-09,7
2013-10,6
2013-11,6
2013-12,6
2014-01,6
2014-02,5
2014-03,6
2014-04,6
2014-05,5
2014-06,5
2014-07,6
2014-08,5
2014-09,8
2014-10,18
2014-11,15
2014-12,13
2015-01,13
2015-02,9
2015-03,8
2015-04,8
2015-05,8
2015-06,11
2015-07,8
2015-08,8
2015-09,8
2015-10,13
2015-11,11
2015-12,9
2016-01,12
2016-02,18
2016-03,14
2016-04,16
2016-05,14
2016-06,15
2016-07,30
2016-08,24
2016-09,23
2016-10,33
2016-11,100
2016-12,53
2017-01,30
2017-02,19
2017-03,15
2017-04,13
2017-05,11
2017-06,11
2017-07,11
2017-08,10
2017-09,10
2017-10,11
2017-11,19
